code,airline,belongs
CQ,Sunshine Express Airlines|阳光航空,澳大利亚
CR,OAG Worldwide,英国
CS,Micronesia|密克罗尼西亚大陆航空,美国
CU,Cubana de Aviación|古巴航空,古巴
CV,Cargolux Airlines International|卢森堡国际货运航空公司,卢森堡
CW,Air Marshall Islands|马绍尔群岛航空,马绍尔群岛
CX,Cathay Pacific Airways|国泰航空,香港
CY,Cyprus Airways|塞浦路斯航空,塞浦路斯
CZ,China Southern Airlines|中国南方航空公司,中国
D2,Damania Airways, 
D3,Daallo Airlines,索马里
D5,Nepc Airlines,
D6,Interair South Africa,津巴布韦
D7,Dinar Lineas Aereas,
D8,Diamond Sakha Airlines,
D9,Donavia 俄罗斯,
DA,格鲁吉亚航空,乔治亚
DB,不列特航空,法国
DC,Golden Air|黄金航空,瑞典
DD,Conti-Flug,
DD,Nok Air,泰国
DE,Prime Air Inc.,
DE,神鹰航空,德国
DF,Aebal|秃鹰航空,西班牙
DG,South East Asian|东太平洋航空,菲律宾
DH,Independence Air|独立航空,美国
DH,DHL,美国
DI,Deutsche BA,德国
DK,Eastland Air,
DL,Delta Airlines|达美航空,美国
DM,Maersk,丹麦
DN,Air Deccan,印度
DO,多米尼加国家航空（Dominicana）,多米尼加共和国
DP,Air 2000,
DP,First Choice Airways,英国
DQ,Coastal Air Transport|海岸航空运输公司,美国
DR,Hyères Aero Services,
DR,Air Link,澳大利亚
DS,Air Senegal|塞内加尔航空,塞内加尔
DT,Taag Angola Airlines|安哥拉航空,安哥拉
DU,Hemus Air,保加利亚
DV,Nantucket Airlines,卡萨克斯坦
DW,Aero Charter,乌克兰
DX,Danish Air Transport|丹麦航空运输公司,丹麦
DY,Norwegian Air Shuttle|挪威航空,挪威
DZ,Air Metro North,
E2,Edelweiss Holdings,
E3,Domodedovo Airlines,俄罗斯
E4,Aero Asia International|亚洲国际航空,巴基斯坦
E5,Samara Airlines,俄罗斯
E7,European Aviation Air,墨西哥
E8,ALPI Eagles S.p.A.,
E9,Boston-Maine Airways|波士顿缅因航空,美国东部
EA,European Air Express,
EC,Avialeasing Aviation Company,乌兹别克斯坦
ED,Airblue,巴基斯坦
EE,Aero Airlines 
FE,Far Eastern Air Transport|远东航空,台湾
EG,Japan Asia Airways|日本亚细亚航空,日本
EH,SAETA Sociedad Anónima Ecuatoriana de Transportes Aéreos,
EI,Aer Lingus Irish Airlines|爱尔兰航空,爱尔兰
EJ,New England Airlines|新英格兰航空, 美国罗德岛州
EK,Emirates|阿联酋国际航空,阿拉伯联合酋长国
EL,Air Nippon|日空航空, 日本
EM,帝国航空公司, 美国
EM,Aero Benin|贝宁航空,贝宁
EN,Air Dolomiti,意大利
EO,Hewa Bora Airways,刚果共和国
EP,Iran Aseman Airlines|伊朗奥赛玛航空,伊朗
EQ,Transportes Aéreos Militares Ecuatorianos,厄瓜多尔
ER,Astar Air Cargo,
ES,DHL国际,巴林
ET,Ethiopian Airlines|埃塞俄比亚航空,埃塞俄比亚
EU,鹰联航空,中华人民共和国
